i t_now Tx Ty Tz theta_x_filt theta_y_filt 
2601 14.000049829483032 -0.024581841131743068 0.005095140925327216 0.0 -3.8627921150792924e-06 1.8578006420739657e-06 
2602 14.005411386489868 -0.024578059965577926 0.005087279016725329 0.0 -2.897094086309469e-06 1.3933504815554744e-06 
2603 14.010737180709839 -0.02457522409095407 0.005081382585273914 0.0 -2.172820564732102e-06 1.0450128611666058e-06 
2604 14.0159752368927 -0.024573097184986178 0.005076960261685352 0.0 -1.6296154235490764e-06 7.837596458749544e-07 
2605 14.021356105804443 -0.02457150200551026 0.00507364351899393 0.0 -1.2222115676618072e-06 5.878197344062157e-07 
2606 14.026787042617798 -0.024570305620903326 0.0050711559619753665 0.0 -9.166586757463554e-07 4.408648008046618e-07 
2607 14.032051086425781 -0.02456940833244812 0.005069290294211441 0.0 -6.874940068097665e-07 3.3064860060349633e-07 
2608 14.0372896194458 -0.024568735366106716 0.005067891043388499 0.0 -5.156205051073249e-07 2.4798645045262225e-07 
2609 14.042509317398071 -0.024568230641350663 0.00506684160527129 0.0 -3.867153788304937e-07 1.859898378394667e-07 
2610 14.047731876373291 -0.024567852097783623 0.005066054526683385 0.0 -2.900365341228703e-07 1.3949237837960002e-07 
2611 14.053142547607422 -0.024567568190108344 0.005065464217742456 0.0 -2.175274005921527e-07 1.0461928378470002e-07 
2612 14.058501243591309 -0.024567355259351883 0.005065021486036759 0.0 -1.6314555044411452e-07 7.846446283852502e-08 
2613 14.063807725906372 -0.02456719556128454 0.005064689437257486 0.0 -1.2235916283308588e-07 5.8848347128893765e-08 
2614 14.069090843200684 -0.024567075787734028 0.005064440400673032 0.0 -9.176937212481441e-08 4.4136260346670325e-08 
2615 14.074475049972534 -0.024566985957571147 0.005064253623234692 0.0 -6.882702909361081e-08 3.3102195260002746e-08 
2616 14.079732179641724 -0.024566918584948985 0.005064113540155935 0.0 -5.162027182020811e-08 2.482664644500206e-08 
2617 14.084970951080322 -0.024566868055482364 0.005064008477846869 0.0 -3.871520386515608e-08 1.8619984833751546e-08 
2618 14.090190172195435 -0.0245668301583824 0.005063929681115069 0.0 -2.903640289886706e-08 1.3964988625313658e-08 
2619 14.095416069030762 -0.02456680173555742 0.005063870583566219 0.0 -2.1777302174150296e-08 1.0473741468985244e-08 
2620 14.10064435005188 -0.024566780418438693 0.005063826260404581 0.0 -1.633297663061272e-08 7.855306101738932e-09 
2621 14.106010437011719 -0.02456676443059964 0.005063793018033353 0.0 -1.2249732472959541e-08 5.891479576304199e-09 
2622 14.111353635787964 -0.024566752439720355 0.005063768086254933 0.0 -9.187299354719656e-09 4.41860968222815e-09 
2623 14.11677622795105 -0.02456674344656089 0.005063749387421117 0.0 -6.890474516039742e-09 3.3139572616711122e-09 
2624 14.122418403625488 -0.02456673670169129 0.005063735363295754 0.0 -5.167855887029806e-09 2.485467946253334e-09 
2625 14.128613948822021 -0.024566731643039092 0.005063724845201733 0.0 -3.8758919152723545e-09 1.8641009596900008e-09 
2626 14.133919715881348 -0.024566727849049945 0.005063716956631216 0.0 -2.906918936454266e-09 1.3980757197675006e-09 
2627 14.139159202575684 -0.024566725003558082 0.00506371104020333 0.0 -2.1801892023406993e-09 1.0485567898256255e-09 
2628 14.14443588256836 -0.024566722869439183 0.005063706602882415 0.0 -1.6351419017555246e-09 7.864175923692191e-10 
2629 14.149702787399292 -0.024566721268850015 0.0050637032748917276 0.0 -1.2263564263166434e-09 5.898131942769143e-10 
2630 14.15492868423462 -0.024566720068408134 0.005063700778898713 0.0 -9.197673197374825e-10 4.4235989570768575e-10 
2631 14.160265445709229 -0.024566719168076727 0.005063698906903952 0.0 -6.898254898031118e-10 3.317699217807643e-10 
2632 14.165567636489868 -0.024566718492828172 0.005063697502907881 0.0 -5.173691173523339e-10 2.488274413355732e-10 
2633 14.170922040939331 -0.024566717986391748 0.0050636964499108286 0.0 -3.880268380142504e-10 1.866205810016799e-10 
2634 14.17619252204895 -0.024566717606564436 0.005063695660163038 0.0 -2.9102012851068783e-10 1.3996543575125992e-10 
2635 14.181472063064575 -0.024566717321693955 0.005063695067852196 0.0 -2.1826509638301587e-10 1.0497407681344494e-10 
2636 14.186966180801392 -0.02456671710804109 0.005063694623619065 0.0 -1.636988222872619e-10 7.87305576100837e-11 
2637 14.192228555679321 -0.024566716947801437 0.005063694290444216 0.0 -1.2277411671544643e-10 5.904791820756277e-11 
2638 14.197464942932129 -0.024566716827621706 0.0050636940405630795 0.0 -9.208058753658482e-11 4.428593865567208e-11 
2639 14.202676773071289 -0.024566716737486904 0.005063693853152226 0.0 -6.906044065243862e-11 3.3214453991754056e-11 
2640 14.207889795303345 -0.024566716669885805 0.005063693712594087 0.0 -5.1795330489328964e-11 2.4910840493815544e-11 
2641 14.213240385055542 -0.024566716619184973 0.005063693607175484 0.0 -3.884649786699672e-11 1.8683130370361658e-11 
2642 14.218541145324707 -0.024566716581159356 0.0050636935281115295 0.0 -2.913487340024754e-11 1.4012347777771243e-11 
2643 14.223868370056152 -0.024566716552640137 0.0050636934688135645 0.0 -2.1851155050185657e-11 1.0509260833328433e-11 
